№,施設・場所名,所在地,電話,指定緊急避難場所_災害種別ごとの指定内容_洪水,指定緊急避難場所_災害種別ごとの指定内容_土砂災害,指定緊急避難場所_災害種別ごとの指定内容_高潮,指定緊急避難場所_災害種別ごとの指定内容_地震,指定緊急避難場所_災害種別ごとの指定内容_津波,指定緊急避難場所_災害種別ごとの指定内容_大規模な火事,指定緊急避難場所_災害種別ごとの指定内容_内水氾濫,指定緊急避難場所_災害種別ごとの指定内容_火山現象,避難所の指定,コミュニティエリア,避難所_延床面積(㎡),避難所_収容人数(人)(1人当たり4㎡),避難所_収容人数(人)(1人当たり2㎡),緊急避難場所_有効面積(㎡),緊急避難場所_収容人数(人)
1,柏市立田中北小学校,大青田１５３６番地の１,04-7131-4849,○,○,－,○,－,○,○,－,○,田中・柏の葉,772,135,270,10309,5154
2,柏市立十余二小学校,柏の葉四丁目４番地の１,04-7133-2555,○,○,－,○,－,○,○,－,○,田中・柏の葉,826,144,289,7362,3681
3,柏市立田中小学校,大室１１９３番地の３,04-7131-5719,○,○,－,○,－,○,○,－,○,田中・柏の葉,610,106,213,12339,6169
4,柏市立花野井小学校,花野井１６５２番地の３４,04-7133-8500,×,○,－,○,－,○,○,－,○,田中・柏の葉,875,153,306,7606,3803
5,柏市立田中中学校,大室２４９番地の９,04-7131-5725,○,○,－,○,－,○,○,－,○,田中・柏の葉,1118,195,391,15055,7527
6,柏市立柏高等学校,船戸山高野３２５番地の１,04-7132-3460,×,○,－,○,－,○,○,－,○,田中・柏の葉,2603,455,911,56837,28418
7,千葉県立柏の葉高等学校,柏の葉六丁目１番地,04-7132-7521,○,○,－,○,－,○,○,－,○,田中・柏の葉,2924,511,1023,21751,10875
8,中十余二第一公園,柏の葉一丁目１０番,－,○,○,－,○,－,○,○,－,－,田中・柏の葉,－,－,－,3249,1624
9,中十余二第二公園,柏の葉二丁目１６番,－,○,○,－,○,－,○,○,－,－,田中・柏の葉,－,－,－,3246,1623
10,柏ビレジ近隣公園,大室１３１１番地の６,－,×,○,－,○,－,○,○,－,－,田中・柏の葉,－,－,－,20058,10029
11,北部緑地,船戸１８０５番地,－,○,○,－,○,－,○,○,－,－,田中・柏の葉,－,－,－,9740,4870
12,柏市青少年センター,十余二３１３番地の９２,04-7131-5856,○,○,－,○,－,○,○,－,○,田中・柏の葉,1215,212,425,16700,8350
13,旧吉田家住宅歴史公園（芝生広場）,花野井９７４番地１,－,○,○,－,○,－,○,○,－,－,田中・柏の葉,－,－,－,4500,2250
14,柏市立柏の葉小学校,十余二３４８番地５１中央４０４街区１,04-7134-3987,○,○,－,○,－,○,○,－,○,田中・柏の葉,1266,221,443,10100,5050
15,公益財団法人吉田記念テニス研修センター,花野井９３６－１,04-7134-3030,×,○,－,○,－,○,○,－,○,田中・柏の葉,3983,697,1394,20941,10470
16,柏市田中近隣センター,大室２４９番地の１,04-7133-1000,○,●,－,○,－,○,○,－,○,田中・柏の葉,1567,274,548,2600,1300
17,柏市北部近隣センター,大青田１５４１番地の２,04-7134-1070,○,○,－,○,－,○,○,－,○,田中・柏の葉,995,174,348,1836,918
18,柏寿荘,船戸山高野５３５番地,04-7131-9511,○,○,－,○,－,○,○,－,○,田中・柏の葉,1159,202,405,6560,3280
19,柏市立柏の葉中学校,十余二３３７番地９３　中央４０５街区１,04-7136-7820,○,○,－,○,－,○,○,－,○,田中・柏の葉,2350,411,822,11665,5832
20,柏たなか駅前公園,柏市大室一丁目４,－,○,○,－,○,－,○,○,－,－,田中・柏の葉,－,－,－,24661,12330
21,柏市立西原小学校,西原四丁目１７番１号,04-7152-3557,○,○,－,○,－,○,○,－,○,西原,730,127,255,9674,4837
22,柏市立西原中学校,西原六丁目１３番１号,04-7154-3232,○,○,－,○,－,○,○,－,○,西原,1220,213,427,11466,5733
23,流通経済大学付属柏高校,十余二１番地の２０,04-7131-5611,○,○,－,○,－,○,○,－,○,西原,1100,192,385,7000,3500
24,柏市西原近隣センター,西原三丁目２番４８号,04-7154-2000,○,○,－,○,－,○,○,－,○,西原,1133,198,396,2528,1264
25,柏市立富勢西小学校,布施８４番地の２,04-7132-2244,○,○,－,○,－,○,○,－,○,富勢,810,141,283,9851,4925
26,柏市立富勢東小学校,布施２１７６番地の２,04-7133-3741,×,○,－,○,－,○,○,－,○,富勢,756,132,264,9180,4590
27,柏市立富勢小学校,布施９２５番地の１,04-7133-2077,○,○,－,○,－,○,○,－,○,富勢,730,127,255,9666,4833
28,柏市立富勢中学校,根戸４６７番地の１,04-7131-2309,○,●,－,○,－,○,○,－,○,富勢,1146,200,401,15110,7555
29,千葉県立柏高等学校,布施２５４番地,04-7131-0013,×,○,－,○,－,○,○,－,○,富勢,1416,247,495,25300,12650
30,富勢運動場,根戸５０７番地,04-7131-7011,×,○,－,○,－,○,○,－,－,富勢,－,－,－,48270,24135
31,あけぼの山公園,布施１９４０番地,－,×,○,－,○,－,○,○,－,－,富勢,－,－,－,58466,29233
32,北柏第二公園,北柏三丁目９番,－,×,○,－,○,－,○,○,－,－,富勢,－,－,－,6455,3227
33,布施第二公園,布施新町二丁目４番,－,×,○,－,○,－,○,○,－,－,富勢,－,－,－,4508,2254
34,北柏第三公園,北柏二丁目９番,－,○,○,－,○,－,○,○,－,－,富勢,－,－,－,2729,1364
35,北柏ふるさと公園,呼塚新田２７０番地の１,－,×,○,－,○,－,○,○,－,－,富勢,－,－,－,30000,15000
36,柏市布施近隣センター,布施１１９６番地の５,04-7132-3100,○,●,－,○,－,○,○,－,○,富勢,1272,222,445,2149,1074
37,柏市根戸近隣センター,根戸４６７番地１７８,04-7131-6098,○,○,－,○,－,○,○,－,○,富勢,1412,247,494,4812,2406
38,柏市立松葉第一小学校,松葉町五丁目３番地,04-7133-5602,○,○,－,○,－,○,○,－,○,松葉,827,144,289,11874,5937
39,柏市立松葉第二小学校,松葉町二丁目１６番地,04-7133-7500,○,○,－,○,－,○,○,－,○,松葉,898,157,314,12126,6063
40,柏市立松葉中学校,松葉町三丁目１４番地,04-7133-5601,○,○,－,○,－,○,○,－,○,松葉,1330,232,465,11734,5867
41,松葉第一近隣公園,松葉町四丁目６番,－,○,○,－,○,－,○,○,－,－,松葉,－,－,－,25706,12853
42,松葉第二近隣公園,松葉町四丁目１３番,－,○,○,－,○,－,○,○,－,－,松葉,－,－,－,13994,6997
43,柏市松葉近隣センター,松葉町四丁目１１番,04-7133-2200,○,●,－,○,－,○,○,－,○,松葉,1577,275,551,1751,875
44,柏市立柏第四小学校,松ヶ崎１１８２番地の９,04-7143-2840,○,○,－,○,－,○,○,－,○,高田・松ヶ崎,1133,198,396,11440,5720
45,柏市立高田小学校,高田３７６番地の３,04-7143-2644,○,○,－,○,－,○,○,－,○,高田・松ヶ崎,750,131,262,17263,8631
46,柏市立柏第五中学校,高田９１９番地の１,04-7143-2645,×,○,－,○,－,○,○,－,○,高田・松ヶ崎,1214,212,424,17349,8674
47,千葉県立柏中央高等学校,松ヶ崎８８４番地の１,04-7133-3141,×,○,－,○,－,○,○,－,○,高田・松ヶ崎,3063,536,1072,26935,13467
48,松ヶ崎中央公園,大山台１番,－,○,○,－,○,－,○,○,－,－,高田・松ヶ崎,－,－,－,13050,6525
49,柏市高田近隣センター,高田６９３番地の２,04-7144-9292,○,●,－,○,－,○,○,－,○,高田・松ヶ崎,1246,218,436,2143,1071
50,柏市立柏第六小学校,豊四季台四丁目２番１号,04-7145-7240,○,○,－,○,－,○,○,－,○,豊四季台,736,128,257,9860,4930
51,柏市立柏第七小学校,篠籠田７２３番地の１,04-7145-9338,○,○,－,○,－,○,○,－,○,豊四季台,794,139,277,10117,5058
52,柏市立柏中学校,明原四丁目１番１号,04-7146-1167,○,○,－,○,－,○,○,－,○,豊四季台,1454,254,508,24822,12411
53,柏市立柏第三中学校,篠籠田９８７番地の１,04-7144-5686,○,○,－,○,－,○,○,－,○,豊四季台,1610,281,563,14078,7039
54,西口第一公園,明原三丁目１番,－,○,○,－,○,－,○,○,－,－,豊四季台,－,－,－,8478,4239
55,柏市豊四季台近隣センター,豊四季台一丁目１番１１６号,04-7144-1000,○,○,－,○,－,○,○,－,○,豊四季台,2091,365,731,5190,2595
56,大堀川防災レクリエーション公園,篠籠田１１９番地３,－,×,○,－,○,－,○,○,－,－,豊四季台,－,－,－,25520,12760
57,柏市立旭小学校,旭町六丁目５番１７号,04-7144-6400,○,○,－,○,－,○,○,－,○,旭町,718,125,251,11911,5955
58,柏市立旭東小学校,旭町五丁目３番９号,04-7145-4445,○,○,－,○,－,○,○,－,○,旭町,828,144,289,4829,2414
59,千葉県立東葛飾高等学校,旭町三丁目２番１号,04-7143-4271,○,○,－,○,－,○,○,－,○,旭町,1685,294,589,22396,11198
60,気象大学校,旭町７丁目４番８１号,04-7144-7185,○,○,－,○,－,○,○,－,○,旭町,634,110,221,14000,7000
61,柏市旭町近隣センター,旭町五丁目３番３２号,04-7144-8900,○,○,－,○,－,○,○,－,○,旭町,1355,237,474,2428,1214
62,豊四季庚塚緑地,豊四季２２４番地の３,－,○,○,－,○,－,○,○,－,－,豊四季台・新富,－,－,－,6787,3393
63,柏市立柏第二小学校,豊四季３１０番地,04-7144-3141,○,○,－,○,－,○,○,－,○,新富,740,129,259,5830,2915
64,柏市立豊四季中学校,豊四季２８７番地の７,04-7146-4766,○,○,－,○,－,○,○,－,○,新富,1503,263,526,10973,5486
65,柏市新富近隣センター,豊四季９４５番地の１,04-7145-1945,○,●,－,○,－,○,○,－,○,新富,1147,200,401,2072,1036
66,柏市立柏第一小学校,あけぼの一丁目７番６号,04-7143-0138,○,○,－,○,－,○,○,－,○,柏中央,732,128,256,6103,3051
67,柏市立柏第五小学校,柏９３２番地の７,04-7164-1585,○,○,－,○,－,○,○,－,○,柏中央,748,130,261,5664,2832
68,日本体育大学柏高等学校,戸張９４４番地,04-7167-1301,○,○,－,○,－,○,○,－,○,柏中央,2793,488,977,26457,13228
69,柏公園,柏５６５番地,－,○,○,－,○,－,○,○,－,－,柏中央,－,－,－,22415,11207
70,柏ふるさと公園,柏下４番地,－,×,○,－,○,－,○,○,－,－,柏中央,－,－,－,30000,15000
71,戸張地区公園,戸張９９４番地２,－,○,○,－,○,－,○,○,－,－,柏中央,－,－,－,8800,4400
72,北千葉導水ビジターセンター,戸張新田２６番地,04-7163-4751,×,○,－,○,－,○,○,－,－,柏中央,－,－,－,16620,8310
73,アミュゼ柏,柏六丁目２番２２号,04-7164-4552,○,●,－,○,－,○,○,－,○,柏中央,5569,974,1949,2014,1007
74,柏市中央公民館,柏五丁目８番１２号,04-7164-1811,○,○,－,○,－,○,○,－,○,柏中央,5930,1037,2075,4927,2463
75,柏市民文化会館,柏下１０７番地,04-7164-9141,×,○,－,○,－,○,○,－,○,柏中央,5734,1003,2006,13927,6963
76,柏市中央体育館,柏下７３番地,04-7164-9573,×,○,－,○,－,○,○,－,○,柏中央,6320,1106,2212,15365,7682
77,柏市立柏第三小学校,若葉町４番５４号,04-7167-3161,○,○,－,○,－,○,○,－,○,富里,933,163,326,19561,9780
78,柏市立豊小学校,豊四季６１０番地の２,04-7174-0755,○,○,－,○,－,○,○,－,○,富里,801,140,280,7966,3983
79,柏市富里近隣センター,富里二丁目４番４号,04-7173-9531,○,○,－,○,－,○,○,－,○,富里,596,104,208,1622,811
80,柏市立柏第八小学校,永楽台二丁目８番１号,04-7164-1207,○,○,－,○,－,○,○,－,○,永楽台,776,135,271,8247,4123
81,永楽台近隣公園,永楽台二丁目１１番,－,○,○,－,○,－,○,○,－,－,永楽台,－,－,－,10017,5008
82,日立台公園,日立台１丁目２番,－,○,○,－,○,－,○,○,－,－,永楽台,－,－,－,8000,4000
83,柏市永楽台近隣センター,永楽台二丁目１１番２５号,04-7163-1201,○,○,－,○,－,○,○,－,○,永楽台,850,148,297,944,472
84,柏市立柏第四中学校,名戸ヶ谷一丁目６番８号,04-7163-6401,○,○,－,○,－,○,○,－,○,永楽台,1149,201,402,14724,7362
85,柏市立柏第二中学校,弥生町６番６号,04-7164-5770,○,○,－,○,－,○,○,－,○,新田原,1283,224,449,15613,7806
86,関場町ゲートボール場,関場町８４２番地の２,－,○,○,－,○,－,○,○,－,－,新田原,－,－,－,2083,1041
87,柏市新田原近隣センター,東柏二丁目２番１５号,04-7167-1276,○,●,－,○,－,○,○,－,○,新田原,1143,200,400,1854,927
88,柏市立名戸ヶ谷小学校,名戸ヶ谷４７４番地の１,04-7163-0540,×,○,－,○,－,○,○,－,○,増尾,751,131,262,13489,6744
89,柏市立土小学校,増尾四丁目４番１号,04-7172-4805,○,○,－,○,－,○,○,－,○,増尾,716,125,250,5397,2698
90,柏市立中原小学校,中原１８２１番地の１,04-7164-4335,○,○,－,○,－,○,○,－,○,増尾,740,129,259,10065,5032
91,柏市立増尾西小学校,増尾台三丁目５番９号,04-7174-8530,○,○,－,○,－,○,○,－,○,増尾,772,135,270,7198,3599
92,柏市立土中学校,増尾一丁目２３番１号,04-7172-4809,○,○,－,○,－,○,○,－,○,増尾,820,143,287,8134,4067
93,柏市立中原中学校,中原１８１６番地の２,04-7166-5601,○,○,－,○,－,○,○,－,○,増尾,1187,207,415,13188,6594
94,千葉県立柏南高等学校,増尾１７０５番地,04-7173-2101,○,○,－,○,－,○,○,－,○,増尾,2644,462,925,24442,12221
95,芝浦工業大学柏中学高校,増尾７００番地,04-7174-3100,×,○,－,○,－,○,○,－,－,増尾,－,－,－,18683,9341
96,名戸ヶ谷第五公園,新柏三丁目２番,－,○,○,－,○,－,○,○,－,－,増尾,－,－,－,3000,1500
97,柏市増尾近隣センター,増尾三丁目１番１号,04-7174-7211,○,○,－,○,－,○,○,－,○,増尾,1574,275,550,3287,1643
98,柏市立光ヶ丘小学校,向小金四丁目２０番１号,04-7173-7130,○,○,－,○,－,○,○,－,○,光ヶ丘,798,139,279,7066,3533
99,柏市立光ヶ丘中学校,光ヶ丘四丁目２３番１号,04-7172-3648,○,○,－,○,－,○,○,－,○,光ヶ丘,1511,201,528,12738,6369
100,麗澤大学,光ヶ丘２丁目１番１号,04-7173-3111,○,○,－,○,－,○,○,－,○,光ヶ丘,2452,429,858,16589,8294
101,柏市光ヶ丘近隣センター,光ヶ丘団地２００番地の５,04-7175-0033,○,●,－,○,－,○,○,－,○,光ヶ丘,1461,255,511,2369,1184
102,柏市立藤心小学校,藤心８８０番地の１,04-7173-7941,○,○,－,○,－,○,○,－,○,藤心,740,129,259,10218,5109
103,柏市藤心近隣センター,藤心四丁目１番１１号,04-7176-3700,○,●,－,○,－,○,○,－,○,藤心,996,174,348,2013,1006
104,南部老人福祉センターかたくりの里,藤心２９３番地１,04-7176-6151,○,○,－,○,－,○,○,－,○,藤心,1546,270,541,1589,794
105,柏市立酒井根小学校,酒井根１９番地の２,04-7172-1108,○,○,－,○,－,○,○,－,○,酒井根,808,141,282,11762,5881
106,柏市立酒井根西小学校,酒井根６６２番地の１,04-7174-4192,○,○,－,○,－,○,○,－,○,酒井根,759,132,265,7424,3712
107,柏市立酒井根東小学校,酒井根一丁目２番１号,04-7175-0336,○,○,－,○,－,○,○,－,○,酒井根,827,144,289,8103,4051
108,柏市立酒井根中学校,酒井根一丁目３番１号,04-7174-8520,○,○,－,○,－,○,○,－,○,酒井根,1286,224,450,14461,7230
109,酒井根下田の森緑地,酒井根六丁目２４番,－,○,○,－,○,－,○,○,－,－,酒井根,－,－,－,16530,8265
110,柏市酒井根近隣センター,酒井根６５３番地の４,04-7175-2400,○,○,－,○,－,○,○,－,○,酒井根,1146,200,401,2000,1000
111,柏市立逆井中学校,逆井５５５番地,04-7175-0335,○,○,－,○,－,○,○,－,○,藤心・南部,1304,228,456,12796,6398
112,柏市立南部中学校,南増尾六丁目１６番１号,04-7173-7943,○,○,－,○,－,○,○,－,○,南部,1159,202,405,13192,6596
113,千葉県立柏陵高等学校,逆井４４４番地の１,04-7174-8551,○,○,－,○,－,○,○,－,○,南部,2797,489,978,21703,10851
114,南部公園,新逆井二丁目５番,－,○,○,－,○,－,○,○,－,－,南部,－,－,－,30090,15045
115,並木第二公園,南逆井二丁目２番,－,○,○,－,○,－,○,○,－,－,南部,－,－,－,3962,1981
116,柏リフレッシュ公園リフレッシュプラザ柏,南増尾５８番地３,04-7173-5900,○,○,－,○,－,○,○,－,○,南部,7910,1384,2768,41355,20677
117,柏市南部近隣センター,新逆井二丁目５番１３号,04-7173-1000,○,●,－,○,－,○,○,－,○,南部,2297,401,803,4074,2037
118,柏市立逆井小学校,逆井４５２番地の２,04-7174-8540,○,○,－,○,－,○,○,－,○,南部,762,133,266,10369,5184
119,柏市立土南部小学校,新逆井１丁目１０番１号,04-7172-4709,○,○,－,○,－,○,○,－,○,南部,754,131,263,7240,3620
120,柏市沼南近隣センター,大島田４４０番地１,04-7192-1111,○,●,－,○,－,○,○,－,○,風早北部,3775,660,1321,6023,3011
121,沼南老人福祉センターいこい荘,塚崎１３５６番地,04-7192-1401,○,○,－,○,－,○,○,－,○,風早北部,748,130,261,6490,3245
122,柏市立風早北部小学校,大井１８５４番地１,04-7191-3796,○,○,－,○,－,○,○,－,○,風早北部,602,105,210,5139,2569
123,柏市立大津ヶ丘第一小学校,大津ヶ丘三丁目５０番地,04-7192-1110,○,○,－,○,－,○,○,－,○,風早北部,687,120,240,10733,5366
124,柏市立大津ヶ丘第二小学校,大津ヶ丘四丁目８番地,04-7192-1120,○,○,－,○,－,○,○,－,○,風早北部,687,120,240,11114,5557
125,柏市立風早中学校,塚崎１３１９番地,04-7191-2290,○,○,－,○,－,○,○,－,○,風早北部,1564,273,547,11190,5595
126,柏市立大津ヶ丘中学校,大津ヶ丘一丁目２５番地,04-7192-1130,○,○,－,○,－,○,○,－,○,風早北部,1482,259,518,16495,8247
127,大津ヶ丘中央公園,大津ヶ丘２丁目１番,－,○,○,－,○,－,○,○,－,－,風早北部,－,－,－,33000,16500
128,風早公園,風早２丁目１番,－,○,○,－,○,－,○,○,－,－,風早北部,－,－,－,14321,7160
129,二松学舎大学,大井２５９０番地,04-7191-8751,○,○,－,○,－,○,○,－,○,風早北部,4791.34,838,1676,19396,9698
130,柏市高柳近隣センター,高柳１６５２番地１０,04-7193-1110,○,●,－,○,－,○,○,－,○,風早南部,1079,188,377,2789,1394
131,柏市立風早南部小学校,藤ヶ谷新田１１１番地２,04-7191-0440,○,○,－,○,－,○,○,－,○,風早南部,1305,228,456,9800,4900
132,柏市立高柳小学校,高南台三丁目１４番地１２,04-7191-3499,○,○,－,○,－,○,○,－,○,風早南部,844,147,295,7310,3655
133,柏市立高柳西小学校,しいの木台三丁目２番地,04-7384-5717,○,○,－,○,－,○,○,－,○,風早南部,811,141,283,11427,5713
134,柏市立高柳中学校,高南台一丁目１番地１,04-7191-4580,○,○,－,○,－,○,○,－,○,風早南部,1453,254,508,13414,6707
135,千葉県立沼南高柳高等学校,高柳９９５番地,04-7191-5281,○,●,－,○,－,○,○,－,○,風早南部,2627,459,919,17764,8882
136,しいの木公園,しいの木台二丁目１１番地１,－,○,○,－,○,－,○,○,－,－,風早南部,－,－,－,12306,6153
137,海上自衛隊下総航空基地,藤ヶ谷１６１４番地１,04-7191-2321,○,○,－,○,－,○,○,－,－,風早南部,－,－,－,13541,6770
138,藤ヶ谷区民館,藤ヶ谷５５８番地,－,○,○,－,○,－,○,○,－,○,風早南部,263,46,92,1651,825
139,柏市立手賀東小学校,手賀４７９番地７,04-7191-9014,○,●,－,○,－,○,○,－,○,手賀,737,128,257,7407,3703
140,柏市立手賀西小学校,泉５４１番地,04-7191-1606,○,○,－,○,－,○,○,－,○,手賀,422,73,147,4652,2326
141,柏市立手賀中学校,柳戸６９０番地,04-7191-1604,○,○,－,○,－,○,○,－,○,手賀,1474,257,515,10373,5186
142,千葉県立沼南高等学校,岩井６７８番地３,04-7191-8121,○,○,－,○,－,○,○,－,○,手賀,2479,433,867,22778,11389
143,柏市手賀近隣センター,柏市柳戸５１１番１１,04-7191-8022,○,●,－,○,－,○,○,－,○,手賀,667,116,233,2967,1483
注）,,,,,,,,,,,,,,,,,,
「指定緊急避難場所_災害種別ごとの指定内容」の分類　●：初動開設　　○：避難可　　×：避難不可　－：当該災害による避難を想定しない,,,,,,,,,,,,,,,,,,
指定避難所の収容人数の算出　　建物の延床面積（学校の場合は体育館の延べ床面積）の７０％を有効面積とし，１人あたり４㎡または２㎡として算出(小数点以下切り捨て)しています。（延床面積×７０％÷４㎡ または ２㎡/１人）,,,,,,,,,,,,,,,,,,
避難者の一人当たりの専有面積を、発災直後から２週間後程度（地区によっては避難所避難者数が増加すると想定される期間）までは２㎡（緊急対応として就寝することができる程度の占有面積）とし、次第に一人当たり４㎡へと遷移させていくことを想定。,,,,,,,,,,,,,,,,,,
指定緊急避難場所の収容人数の算出　　学校の有効面積は，運動場（校庭）の面積，その他の有効面積は，敷地面積とし，１人あたり２㎡として算出(小数点以下切り捨て)しています。（有効面積÷２㎡/人）,,,,,,,,,,,,,,,,,,
土砂災害の発生が予見される又は発生した場合は，●のついた１６箇所の避難所を初動開設し，拡充が必要な場合には，○が付いた他の土砂災害時避難可能施設を，順次開設します。,,,,,,,,,,,,,,,,,,
